_Id,Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
705,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,Carp Pharmaceuticals Pty Ltd  Metro South Hospital And Health Service - Princess Alexandra Hospital,Advanced Molecular Design Of Potent Chemotherapeutic Agents – Neha S.Gandhi,Woolloongabba,4102.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Mcconnel,300000
706,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Queensland University Of Technology,Brisbane City,4000.0,,Nq Baa Research Pty Ltd  Lamanna Premier Group Pty Ltd,Gene Edited Cavendish Baas Resistant To Fusarium Wilt Tr4 - Upendra Shekhawat,Brisbane City,4000.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Mcconnel,180000
707,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Noja Power Switchgear Pty Ltd  Energy Queensland Limited,High-Precision Condition Monitoring Of Critical Equipment In Modern Distribution Networks - Feifei Bai,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,180000
708,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Rio Tinto Aluminium Limited  Queensland Alumina Limited,Developing Mineral-Gel Technology For Sustainable And Economical Bauxite Residue Management - Tuan Nguyen,St Lucia,4067.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,180000
709,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Em Solutions Pty Ltd,Low-Cost Compact Autonomous Satellite Terminal For Ubiquitous Broadband Communication - Yifan Wang,Tennyson,4105.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,64578
710,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland - School Of Public Health - Herston,Herston,4006.0,,Australian Defence Force Malaria And Infectious Disease Institute,"Development Of A Novel, Rapid And Non-Invasive Malaria Diagnostic Tool -Maggy Sikulu-Lord",Enoggera,4051.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Mcconnel,300000
711,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Queensland University Of Technology - Translational Research Institute,Woolloongabba,4102.0,,Carp Pharmaceuticals Pty Ltd  Metro South Hospital And Health Service - Princess Alexandra Hospital,Towards The Clinic: Development Of A New Cancer Therapeutic - Laura Croft,Woolloongabba,4006.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,South Brisbane,300000
712,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,Queensland University Of Technology - Translational Research Institute,Woolloongabba,4102.0,,Metro South Hospital And Health Service  Biocomputing Platforms,Developing A Comprehensive Pharmacogenomics System To Prevent Adverse Drug Reactions - Jonathan Ellis,Woolloongabba,4102.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,South Brisbane,294173
713,Industry Research Fellowships,Aq Industry Research Fellowships 2018 Round 1,The University Of Queensland,St Lucia,4067.0,,Graphene Manufacturing Group Pty Ltd  Bionics Queensland Limited  Konica Minolta Business Solutions Australia Pty Ltd  Metro North Hospital And Health Service,"Biofabrication For Personalised Vascular Surgery Prognosis, Training, And Treatment – Mark Allenby",St Lucia,4072.0,,2018-10-22,Brisbane (C),Brisbane And Redlands,Maiwar,180000
714,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Australian Coal Research Limited  Anglo Coal (Moranbah North Management) Pty Limited  Oaky Creek Coal Pty Ltd,Improving Fine-Coal Production And Safety Through Advanced Froth Management - Yangyang Huai,St Lucia,4067.0,"Coal Handling And Preparation Plant, Oaky Creek Coal, Qld; Coal Handling And Preparation Plant, Moranbah North Mine, Qld.",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,31569
715,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Metro North Hospital And Health Services - The Prince Charles Hospital  Sullivan Nicolaides Pathology Pty Ltd,Toward Routine Blood Testing For Early Cardiovascular Disease Detection - Jacky Suen.,Chermside,4032.0,"St. Lucia, Brisbane, Queensland; Parkville, Melbourne, Victoria",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,300000
716,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Cook Medical Australia Pty Ltd,"Advanced Manufacturing Of Radiopaque, Implantable Micro-Components - Jeffrey Venezuela",St Lucia,4067.0,"95 Brandl St, Eight Mile Plains Qld 4113",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
717,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Comscentre Pty Ltd,Ai-Based Cyber-Attack Detection And Response System For Queensland Based Smes - Siamak Layeghy,St Lucia,4067.0,15 Mayneview St Milton Qld 4064 Australia,2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
718,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Emvision Medical Devices Ltd  Metro South Hospital And Health Service - Princess Alexandra Hospital,Novel Techniques For Monitoring And Classifying Brain Stroke – Lei Guo,St Lucia,4067.0,"1. Creek St, Brisbane City, Qld, 4000, Australia    2. Ipswich Rd, Woolloongabba, Qld, 4102, Australia",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
719,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Sdi Plastics  Fight Food Waste Limited  Queensland Strawberry Growers Association Inc  Luvaberry,Finally Biobased And Biodegradable Packaging For Australian Berries - Luigi Vandi,St Lucia,4067.0,"Beenleigh, Queensland 4207",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
720,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Magnetica Limited,The Development Of The Radiofrequency And Imaging Systems For A Compact 3T Musculoskeletal Mri Scanner – Mingyan Li,Eagle Farm,4009.0,"The University Of Queensland, St Lucia, Qld",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
721,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Arrow Energy Pty Ltd  Queensland Farmers' Federation Ltd  Santos Limited  Australia Pacific Lng Pty Limited  Comet Ridge Galilee Pty Ltd  Southern Queensland Landscapes  Csiro,Enabling Transition: Understanding Co-Benefits Of New Energy Projects - Kathy Witt,St Lucia,4067.0,"Dalby, Chinchilla, Wandoan, Miles, Roma, Charleville, Clermont, Barcaldine, Moranbah, Dysart, Warwick, Gladstone - All In Queensland.  Possibly Hastings Point, Victoria As A Case Study",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,300000
722,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Boeing Defence Australia Ltd,Integrated Computational Materials Model Using Ai For Advanced Manufacturing – Yunpeng Zhang,St Lucia,4067.0,"The University Of Queensland, St Lucia, Brisbane",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
723,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Queensland Urban Utilities,Aggregated Algal / Bacterial Flocs For Wastewater Treatment And Algae Industries- Andrew Ward,Pinkenba,4008.0,,2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
724,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Ridley Corporation Limited  Darwalla Milling Co Pty Ltd,Green Nanotechnology-Based Antibiotic-Free Poultry Feed Against Coccidiosis – Jie Tang,St Lucia,4067.0,"Ridley Facilities In Clifton, Toowoomba And Townsville, Qld? Darwalla Facillities In Gatton, Waterford And Mount Cotton, Qld.",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
725,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Australian Coal Research Limited,Implementing Non-Dangerous Frothers In Coal Preparation Plants – Yufan Mu,St Lucia,4067.0,"Daunia Coal Mine, Oaky Creek Coal, Newlands Coal",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
726,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Dunblane Pastoral Holdings Pty Ltd  Nd And Ma O’ Dempsey  Warroo Station Pty Ltd  Bam Pastoral  Department Of Agriculture And Fisheries - Dutton Park  Boehringer-Ingelheim Animal Health Australia Pty Ltd  University Of The Sunshine Coast,Bioclay Innovation: Sustainable Alternative To Pesticides For Protecting Queensland’S Livestock - Karishma Mody,St Lucia,4067.0,"42164 Landsborough Highway, Barcaldine Qld 4725 (5%);  Warroo Station,  Inglewood Qld 4387 (5%); 6 Oakbar Close, Springfield Qld 4300 (10%);  41 Boggo Road, Dutton Park, Qld 4102 (20%).",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,180000
